DCAA,TCAA,HAA5,TTHM,Temp,pH,DOC,Cl2,NO2-N,NH4-N,Br
8.2,12.0,21.0,23.9,10.2,7.44,1.5,1.2933333333333332,0.0005,0.015,2.0199999999999996
20.0,17.0,39.0,30.7,9.2,7.64,1.9,1.36,0.0005,0.018,2.0199999999999996
7.9,11.0,21.0,27.9,7.6,7.85,3.4,2.2,0.0005,0.016,2.0199999999999996
20.0,16.0,38.0,36.0,20.0,7.76,3.4,1.4666666666666668,0.0005,0.014,2.0199999999999996
14.0,22.0,37.0,45.6,4.75,7.93,4.0,1.32,0.004,0.368,2.0199999999999996
3.5,3.2,7.4,14.9,13.0,8.28,1.7,1.6666666666666667,0.002,0.0025,2.2
2.9,2.2,6.1,15.7,18.0,8.03,1.4,1.3133333333333335,0.0005,0.008,0.48
2.6,2.2,5.6,10.3,10.9,8.11,1.0,0.8733333333333334,0.0005,0.01,2.0199999999999996
3.4,2.1,6.9,12.7,21.7,7.77,0.7,0.9,0.0005,0.0025,2.0199999999999996
5.9,5.1,12.0,15.1,16.5,8.0,1.3,1.1533333333333333,0.0005,0.0025,2.45
7.2,4.4,12.0,12.8,7.0,7.89,1.1,1.18,0.0005,0.021,2.58
13.0,22.0,37.0,35.6,13.1,7.66,2.6,1.5133333333333334,0.0005,0.013,2.01
9.4,6.8,17.0,21.4,8.8,8.18,1.5,1.35,0.0005,0.026,0.86
2.9,1.9,4.8,9.1,9.9,8.31,0.7,1.32,0.0005,0.025,2.25
0.15,0.375,0.5,0.05,10.8,8.05,0.3,1.1466666666666667,0.0005,0.0025,6.08
6.2,3.5,12.0,19.9,11.5,8.08,1.6,1.1133333333333333,0.0005,0.018,1.46
10.0,15.0,25.0,42.2,4.5,7.74,3.1,1.3933333333333333,0.0005,0.0025,2.0199999999999996
28.0,25.0,53.0,53.0,18.7,7.83,3.1,1.5999999999999999,0.0005,0.0025,2.09
20.0,22.0,46.0,64.0,17.4,7.74,2.2,0.6266666666666666,0.0005,0.01,1.29
22.0,24.0,48.0,68.4,15.3,7.89,2.4,0.7533333333333333,0.0005,0.017,2.0199999999999996
0.15,0.375,0.5,0.2,7.5,8.08,0.4,1.1933333333333334,0.002,0.0025,0.78
4.2,1.6,14.0,54.5,14.7,8.01,1.2,1.4533333333333334,0.0005,0.035,11.8
12.0,13.0,28.0,48.7,15.5,8.06,3.3,1.2266666666666668,0.0005,0.0025,2.0199999999999996
19.0,15.0,35.0,56.3,22.7,7.94,3.8,1.5666666666666667,0.002,0.012,2.0199999999999996
18.0,15.0,35.0,43.6,18.2,8.18,2.3,1.1466666666666667,0.0005,0.024,2.0199999999999996
13.0,17.0,30.0,38.5,7.9,7.66,2.6,0.8933333333333332,0.0005,0.008,2.0199999999999996
24.0,28.0,53.0,73.9,20.0,7.86,3.0,0.9333333333333332,0.0005,0.0025,2.0199999999999996
23.0,27.0,50.0,62.4,15.5,7.69,2.8,1.16,0.0005,0.015,2.0199999999999996
10.0,15.0,26.0,32.4,6.5,7.92,2.5,1.2733333333333332,0.0005,0.025,2.0199999999999996
27.0,31.0,59.0,48.7,7.7,7.59,3.7,1.28,0.0005,0.008,0.53
11.0,15.0,28.0,32.6,12.0,7.71,2.4,1.1066666666666667,0.0005,0.0025,2.0199999999999996
32.0,28.0,63.0,55.9,24.0,7.64,3.3,1.5466666666666669,0.002,0.013,2.0199999999999996
26.0,36.0,65.0,57.8,12.8,7.6,2.8,1.9733333333333334,0.0005,0.0025,2.0199999999999996
14.0,16.0,30.0,42.4,16.7,7.68,2.1,1.9866666666666666,0.0005,0.0025,2.0199999999999996
1.5,0.98,2.7,19.2,19.45,7.87,1.4,0.8333333333333334,0.0005,0.007,2.0199999999999996
1.8,1.0,3.7,18.3,21.0,7.76,1.4,0.8799999999999999,0.0005,0.034,2.0199999999999996
3.8,2.2,7.2,15.0,13.5,7.94,1.7,1.0,0.0005,0.007,1.83
7.6,6.1,15.0,17.9,19.7,7.87,1.7,1.04,0.002,0.027,0.88
4.9,4.2,11.0,19.9,10.0,8.13,1.6,1.3066666666666666,0.0005,0.0025,2.0199999999999996
16.0,8.9,28.0,36.2,20.0,8.06,1.8,1.2266666666666668,0.002,0.034,2.0199999999999996
2.0,2.1,6.8,23.6,12.7,8.03,1.9,1.16,0.0005,0.029,2.61
12.0,12.0,25.0,35.7,14.9,8.03,2.2,1.2,0.002,0.0025,2.37
9.9,7.6,18.0,31.3,17.0,7.97,1.8,1.1133333333333333,0.002,0.026,2.0199999999999996
11.0,10.0,22.0,24.9,15.0,7.69,2.5,1.0933333333333333,0.0005,0.0025,2.0199999999999996
2.3,2.3,5.2,19.6,14.5,8.18,1.5,0.7533333333333333,0.0005,0.0025,1.17
3.4,2.8,7.0,23.6,22.0,8.16,1.3,0.8133333333333334,0.0005,0.011,0.08
4.6,3.1,8.5,15.8,15.5,8.26,1.3,1.1333333333333333,0.0005,0.0025,2.74
1.3,0.375,1.9,0.4,7.0,7.97,0.3,0.7266666666666667,0.0005,0.0025,2.0199999999999996
4.9,3.3,8.3,8.9,7.5,7.86,1.2,0.9199999999999999,0.0005,0.0025,2.25
0.15,0.375,0.5,0.1,12.0,7.83,0.3,0.8066666666666666,0.0005,0.017,2.0199999999999996
0.78,0.375,7.0,10.6,13.0,7.97,1.1,0.7799999999999999,0.0005,0.018,2.0199999999999996
0.63,0.375,5.4,14.8,13.2,7.91,1.1,1.0333333333333334,0.0005,0.037,2.0199999999999996
11.0,14.0,26.0,33.7,13.1,7.92,2.7,1.0333333333333334,0.0005,0.0025,2.0199999999999996
28.0,24.0,55.0,49.5,21.7,7.87,2.9,1.68,0.0005,0.014,2.0199999999999996
2.3,1.4,4.7,8.4,19.3,8.01,1.6,0.9666666666666668,0.0005,0.011,3.58
2.6,0.375,3.7,1.8,6.5,7.92,1.6,0.9,0.0005,0.017,3.44
0.62,0.375,6.6,13.1,14.0,8.09,0.6,0.9866666666666667,0.0005,0.0025,2.0199999999999996
0.56,0.375,3.5,10.4,13.0,8.09,1.0,1.0999999999999999,0.0005,0.0025,2.0199999999999996
0.15,0.375,0.5,0.05,7.0,8.11,0.7,0.8866666666666667,0.0005,0.0025,2.0199999999999996
0.88,0.93,1.8,6.7,7.9,8.02,1.9,1.0533333333333335,0.0005,0.0025,4.42
2.6,3.1,7.3,11.9,5.0,7.94,1.7,0.8666666666666667,0.0005,0.0025,2.82
2.2,2.5,6.2,9.4,5.6,7.98,1.7,0.88,0.0005,0.0025,2.44
1.2,1.3,4.0,13.9,15.8,8.23,1.7,0.9400000000000001,0.0005,0.0025,3.57
3.4,2.2,6.7,21.6,19.5,8.03,1.8,1.0,0.002,0.009,4.94
4.1,7.0,11.0,19.1,10.3,7.98,1.7,0.82,0.0005,0.0025,2.0199999999999996
17.0,14.0,34.0,33.7,6.0,7.74,3.4,1.3,0.0005,0.0025,2.0199999999999996
35.0,18.0,55.0,32.7,14.4,7.64,3.2,1.42,0.002,0.012,1.22
1.3,0.375,2.0,1.4,9.0,8.13,0.9,1.2066666666666668,0.0005,0.023,0.85
0.99,0.375,1.3,2.5,9.3,8.01,1.1,2.0866666666666664,0.0005,0.024,0.97
17.0,9.2,30.0,21.4,9.0,7.29,2.5,1.1466666666666667,0.0005,0.0025,1.36
20.0,7.2,29.0,14.9,9.3,7.4,2.3,1.9466666666666665,0.0005,0.021,0.38
6.1,6.3,12.0,14.2,15.2,7.8,0.8,1.0,0.002,0.007,1.99
4.3,3.5,8.8,10.5,13.1,7.95,1.1,1.0266666666666666,0.0005,0.0025,2.0199999999999996
9.0,4.8,15.0,9.5,9.3,8.03,1.0,1.22,0.002,0.012,2.0199999999999996
14.0,14.0,30.0,34.4,16.8,7.77,1.7,1.1866666666666668,0.002,0.0025,2.0199999999999996
9.7,5.3,18.0,21.2,21.9,7.92,1.4,1.1933333333333334,0.0005,0.026,2.0199999999999996
3.6,2.7,7.6,13.2,15.7,8.08,1.5,1.0933333333333333,0.0005,0.009,2.0199999999999996
4.5,2.1,8.5,13.5,18.2,7.92,0.9,1.1533333333333333,0.0005,0.011,2.0199999999999996
7.4,11.0,21.0,21.0,11.0,7.42,2.1,2.066666666666667,0.0005,0.024,2.0199999999999996
7.1,5.5,15.0,22.5,16.3,8.04,1.6,1.3733333333333333,0.002,0.283,2.82
8.1,6.2,16.0,27.5,20.0,8.04,1.4,1.3266666666666667,0.002,0.313,6.35
0.43,0.375,0.5,0.8,8.6,8.07,0.6,0.88,0.0005,0.007,2.0199999999999996
0.15,0.375,0.5,0.3,8.2,7.84,0.3,0.8933333333333334,0.0005,0.0025,2.0199999999999996
1.2,0.375,1.2,0.5,9.5,7.78,0.2,0.8666666666666667,0.0005,0.012,2.0199999999999996
4.0,0.375,4.0,1.2,10.6,7.92,1.0,1.0,0.0005,0.013,2.0199999999999996
0.32,0.375,0.5,0.4,10.7,7.6,0.8,0.8466666666666667,0.0005,0.015,2.0199999999999996
0.41,0.375,0.5,0.4,12.0,7.89,0.6,0.9,0.0005,0.015,2.0199999999999996
0.15,0.375,0.5,0.05,10.1,8.01,0.4,1.0133333333333334,0.0005,0.028,2.0199999999999996
2.2,2.0,5.0,12.4,12.1,8.11,1.2,0.7133333333333333,0.002,0.0025,1.02
21.0,27.0,50.0,63.1,4.2,7.91,3.1,0.79,0.0005,0.011,0.08
3.4,4.3,9.0,18.4,9.7,8.0,1.7,0.9199999999999999,0.0005,0.011,0.92
7.0,4.9,13.0,24.6,23.8,7.92,1.6,0.9866666666666667,0.0005,0.033,2.0199999999999996
11.0,10.0,23.0,37.2,16.6,8.2,2.0,1.7533333333333332,0.0005,0.0025,2.95
12.0,10.0,24.0,35.0,19.3,8.1,1.8,1.7333333333333334,0.0005,0.033,2.2
4.7,4.3,11.0,20.3,6.4,8.06,1.6,1.4533333333333334,0.0005,0.439,2.0199999999999996
3.2,2.9,7.7,16.5,13.2,8.13,1.0,0.8533333333333335,0.002,0.0025,3.34
