Dataset,Seed,Arm,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
ontario,42,mlp,0.6144538973839658,0.31355295442915104,0.6536962207310901,0.29788092686242773,0.3893471140774761,,,,,,4932,0.5283018946647644,,0.056603774428367615,0.627621201216979,0.6254507102817962,0.7424437653977154,0.61926920602787
ontario,42,mlp_hier,0.6142589435638899,0.3151914823460078,0.6539052649744246,0.29767574478993736,0.3863641711627359,,,,,,4932,0.16981132328510284,,0.056603774428367615,0.6316835773837788,0.6273999999674498,0.7348939335215272,0.6216435490249423
ontario,42,explainable,0.8869711820346718,0.5253698691916611,0.6878272375925243,0.2670143137992996,0.3588674631600237,,,,,,134985,0.01886792480945587,,0.09433962404727936,0.7076359769890144,0.6600214102714944,0.7350278234759501,0.6486237396336382
ontario,123,mlp,0.3350676220252969,0.04678642006742445,0.34364540477110805,0.5156968903840791,0.5995675916218728,,,,,,4932,0.09433962404727936,,0.0,0.42998027227623103,0.25388387077047103,0.3382707603370162,0.3524467157007144
ontario,123,mlp_hier,0.3336464605009072,0.04511284923183484,0.34169886533069393,0.5174879232519639,0.6008319429365446,,,,,,4932,0.03773584961891174,,0.0,0.4269704581414402,0.25683503173829314,0.3343597186971722,0.3486302527458707
ontario,123,explainable,0.838697667306715,0.2953937149200404,0.7140241631668336,0.22410312356692802,0.33585760456721436,,,,,,134985,0.0,,0.056603774428367615,0.7156651257021653,0.6737088556657236,0.8001260996087081,0.6665965716907374
ontario,456,mlp,0.6008502394140429,0.6906853277405822,0.5354281013262849,0.9128063984031892,0.6460648673811455,,,,,,4932,0.09433962404727936,,0.01886792480945587,0.5779012487794732,0.49978214586292036,0.5583763244451725,0.5056526862175736
ontario,456,mlp_hier,0.5992722871691778,0.6904621800532518,0.534410026946244,0.9148103066370867,0.6475420688814548,,,,,,4932,0.07547169923782349,,0.01886792480945587,0.5768520522268974,0.4993299272449081,0.5568490964664425,0.504609031846728
ontario,456,explainable,0.6610359630065104,0.6788265096869379,0.5857004887160726,0.8118041697598312,0.5953723449819373,,,,,,134985,0.01886792480945587,,0.056603774428367615,0.5977310298187759,0.5806932133268778,0.621586650991903,0.542791060726734
ontario,789,mlp,0.5304574510954478,0.5297495529581135,0.49094382455351115,0.3474278439816386,0.436714620083243,,,,,,4932,0.2830188572406769,,0.0,0.45073782489686687,0.5232383986152029,0.4920726787029711,0.4977263959990038
ontario,789,mlp_hier,0.5425429386709655,0.5310264803481906,0.4938771886630834,0.34567610699609574,0.4329836969898208,,,,,,4932,0.01886792480945587,,0.01886792480945587,0.44509198521552873,0.5193125294245489,0.5115958078794169,0.49950843213283913
ontario,789,explainable,0.5748134186990951,0.5400591147590514,0.6337647841395069,0.24996298711513026,0.36066569447481844,,,,,,134985,0.18867924809455872,,0.056603774428367615,0.6777087278783118,0.602980661752063,0.7598005424466404,0.49456920448101194
ontario,1024,mlp,0.7309295956494831,0.5839469339669017,0.5122135153783864,0.5849494254127661,0.5361972718212964,,,,,,4932,0.09433962404727936,,0.07547169923782349,0.5291088656508915,0.5304388002933011,0.5325084883711737,0.4567979071981796
ontario,1024,mlp_hier,0.7307153938084876,0.5847533167777992,0.5120228806680425,0.5852206720773754,0.5365088111945847,,,,,,4932,0.056603774428367615,,0.07547169923782349,0.5297896471640983,0.5294333517481247,0.5329915091782746,0.45587701458167207
ontario,1024,explainable,0.6899284889481396,0.6067374867141155,0.4290262738485555,0.6835124897148799,0.563470980699005,,,,,,134985,0.0,,0.056603774428367615,0.42069730900171554,0.4510614086464738,0.4700106147643073,0.3743357629817258
ontario,2025,mlp,0.5586216275817787,0.39056703729925624,0.533155075385684,0.45451146278852705,0.49759454708222123,,,,,,4932,0.30188679695129395,,0.01886792480945587,0.5734376788012628,0.6016584525461202,0.6583189145132129,0.2992052556821402
ontario,2025,mlp_hier,0.5561267651215878,0.39187184869494307,0.5313088673987909,0.4570160640663765,0.5002590906816071,,,,,,4932,0.16981132328510284,,0.01886792480945587,0.5706029363366117,0.606394128977171,0.6460447290295261,0.3021936752518546
ontario,2025,explainable,0.5638171550262491,0.37664456545631086,0.5237926905140349,0.46640915965414426,0.5035928617240713,,,,,,134985,0.3396226465702057,,0.11320754885673523,0.5459336385710634,0.4666193371759262,0.6229612977569696,0.45965648855218033
ontario,3407,mlp,0.6441095425265813,0.6612044130875694,0.5113609261255639,0.6285689051054535,0.539944473961898,,,,,,4932,0.15094339847564697,,0.11320754885673523,0.5620440914494489,0.5234884122224831,0.5638960154374472,0.39601518539287683
ontario,3407,mlp_hier,0.6441413659780777,0.6609483085376828,0.5114726522646137,0.6284546879118027,0.5397053275596445,,,,,,4932,0.11320754885673523,,0.11320754885673523,0.5622704643867411,0.5234684589529264,0.5643199971106024,0.39583168860818474
ontario,3407,explainable,0.7507261403795246,0.6765179431149473,0.5951497041875402,0.5148552274510702,0.4771949339820364,,,,,,134985,0.0,,0.056603774428367615,0.5856957513501478,0.6060927262680982,0.6261278194387547,0.56268251969316
ontario,5555,mlp,0.6092619867796518,0.40449157896468446,0.39377067716429837,0.4477229475164889,0.4858229770191041,,,,,,4932,0.1320754736661911,,0.07547169923782349,0.3937618633831166,0.41859842111634604,0.42047575778275637,0.34224666637497403
ontario,5555,mlp_hier,0.6061093057787175,0.40342396728443386,0.3928695443795238,0.44835786249176623,0.48694206075855817,,,,,,4932,0.01886792480945587,,0.07547169923782349,0.39553310237870587,0.420021089188803,0.4121233644729356,0.34380062147765067
ontario,5555,explainable,0.7399641727960551,0.484711288964821,0.4586090392613622,0.39665467005797816,0.405177006320542,,,,,,134985,0.0,,0.0,0.3869036027404128,0.5163453557128035,0.5135792731072877,0.41760792548494496
ontario,7777,mlp,0.8815473566037204,0.6106003200176665,0.625437501452186,0.4248221157584936,0.47366643297212696,,,,,,4932,0.07547169923782349,,0.1320754736661911,0.6108853439599495,0.6340284354306003,0.6619793196280088,0.5948569067901853
ontario,7777,mlp_hier,0.8793941771426167,0.5856553780295369,0.6309384761584171,0.41870840575762264,0.47001048545318547,,,,,,4932,0.056603774428367615,,0.1320754736661911,0.6134566013291938,0.6396658288838272,0.6706371183846228,0.5999943560360246
ontario,7777,explainable,0.879916129916298,0.7818090624413739,0.6247405706210203,0.42769168643795785,0.4579034356083107,,,,,,134985,0.0,,0.03773584961891174,0.5982022726348434,0.6351692440777057,0.6377077709353857,0.6278829948361464
ontario,9999,mlp,0.5805533284237385,0.21445268590950115,0.40003642043138943,0.6410589582596011,0.6151477184566615,,,,,,4932,0.2075471729040146,,0.0,0.45743246787083613,0.36229572651606756,0.42197725258816,0.35844023475049425
ontario,9999,mlp_hier,0.5755843569193005,0.21041785322331624,0.39700351153159774,0.6443286930452314,0.6198611666024256,,,,,,4932,0.03773584961891174,,0.0,0.45739901741601574,0.35989162845621814,0.41397223466751853,0.35675116558663833
ontario,9999,explainable,0.5923546611985624,0.3185615686684087,0.47483669164925946,0.5591628039815038,0.5530974031900202,,,,,,134985,0.01886792480945587,,0.1320754736661911,0.48817872426985365,0.4386616867893244,0.5167673084754549,0.45573904706240453
