Dataset,Seed,Scaler,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,456,zscore,SVR,0.6891031690197451,0.48101229082606983,0.4574793323679323,0.5004066088033169,0.5280257131556261,0.5015556977863933,0.5396386282268437,0.1816319573553593,0.5270011186189605,0.5375692598521049,,,,,
original,456,robust,Explainable Model,0.35173614674262577,0.0798899810845997,0.22644825208727562,0.7309369646762343,0.6216492632789621,0.2694583339746792,0.2973431090857671,0.009464375757789578,0.3028414714426704,0.2531339701754717,177466.0,,,,
original,456,robust,SVR,0.8630824611258149,0.29020427700136764,0.12887233012226956,0.7129935531284777,0.6050967494355408,0.24378793081826922,0.029681038264422144,0.1926799336624152,0.11964642473581277,0.05856632313042831,,,,,
original,456,minmax,Explainable Model,0.516376777141042,0.3223463686434706,0.38470298186155627,0.030492214735457306,0.13922932456250406,0.3708182625517672,0.5167884988929186,0.16420816385856474,0.42152090029402567,0.4501790837105061,177466.0,,,,
original,456,minmax,SVR,0.7929733746537132,0.5104546970756848,0.35839523027135833,0.031747440284870206,0.14724309435778518,0.47915778891757255,0.4306330371185504,0.06526648427359705,0.4378071221315547,0.37911171891551687,,,,,
original,789,zscore,Explainable Model,0.9542538960633167,0.4870550761413922,0.3849068785343779,0.7999233824789139,0.4759994972279449,0.4914602440344512,0.39769684625641044,0.04351843630933416,0.4810943278133447,0.5107645382583486,177466.0,,,,
original,789,zscore,SVR,0.7120290680266571,0.5969832670410625,0.4237355257026552,0.7880405381023954,0.5132866068186317,0.5472363345289971,0.5172923545075826,0.018755071001633872,0.5327322905981537,0.502661577876909,,,,,
original,789,robust,Explainable Model,0.4165512525076638,0.035031861722860616,-0.01731022944493077,0.7851545034550363,0.6202083921029545,0.1948882084855903,-0.11099406466749095,-0.01806164131258048,-0.06497517708020784,-0.08740847264996443,177466.0,,,,
original,789,robust,SVR,0.6962908798435838,0.543461399103846,0.28279209771229646,0.6353536586661719,0.4767097706423916,0.5481653643968372,0.20956242806674286,0.07438142498494527,0.2786079715120431,0.3032432996009141,,,,,
original,789,minmax,Explainable Model,0.39356385854452275,-0.17171731769491339,0.1269102647698488,0.054792888235562706,0.1738746446418637,0.17996671083844962,0.14920017536349772,-0.01196588611233107,0.18172607796887374,0.13562424579075338,177466.0,,,,
original,789,minmax,SVR,0.6734470493200411,0.25270908545405335,0.44111630811063857,0.038783212664129534,0.12818857817856302,0.6270812299168633,0.37078478050616437,0.09513620035700165,0.49652533813722677,0.6160539916359363,,,,,
original,1024,zscore,Explainable Model,0.7189195520598461,0.1590482256001641,0.2507466715696788,0.6602968268973657,0.6670120198029423,0.31992590945745447,0.4000213427486743,-0.288289065623061,0.411095527680608,0.4109796435847175,177466.0,,,,
original,1024,zscore,SVR,0.7151523331514752,0.44049899098526674,0.4773576865144261,0.4657128384072277,0.5063247577246286,0.5786819553418457,0.5208433701121775,0.10680932194635717,0.5839326414896298,0.5965211436821203,,,,,
original,1024,robust,Explainable Model,0.6222672943059768,0.18599549467563672,0.34289180283662535,0.3482521446297015,0.4967916147288993,0.3679057602939768,0.5111717023321505,-0.19602428512584869,0.5199288536200073,0.5114769830628403,177466.0,,,,
original,1024,robust,SVR,0.6566435437934477,0.5482586314002009,0.4679041178060695,0.288301811491123,0.3943819418722555,0.5624325577061542,0.4785621673145647,0.12558419888204175,0.5739863451680135,0.5989553199595732,,,,,
original,1024,minmax,Explainable Model,0.5284421946536607,0.2371070901110044,0.43203356281493777,0.02890405704914728,0.1385862587521708,0.5568861928899571,0.5643150435859925,-0.1258792057760667,0.5882263596433168,0.5766194237314894,177466.0,,,,
original,1024,minmax,SVR,0.7179818944633288,-2.142052445678254,0.3754590476451759,0.03412049561000989,0.14525733832119705,0.42656275891465234,0.4827382301599551,0.01027365757167864,0.4901371447991596,0.46758344678043395,,,,,
original,2025,zscore,Explainable Model,0.9657053113959172,0.3040583403571595,0.3346894798896181,0.276037018099096,0.40496765521571787,0.42016626452658334,0.5202538902237919,-0.2406534780953944,0.5108366338018393,0.4628440889912706,177466.0,,,,
original,2025,zscore,SVR,0.7290567888612807,0.16382246487636548,0.33968827043225575,0.2725191033313086,0.3969262686254532,0.358977110346547,0.5257986444948723,-0.1199532941592032,0.4644141324517166,0.4692047590273457,,,,,
original,2025,robust,Explainable Model,0.6352323870115848,0.19391829922731948,0.02725308137543969,0.5997363535390524,0.5313774869076248,0.0894187136610941,0.23378957661259447,-0.26179890027658015,0.0778857712264115,-0.0030297543463218,177466.0,,,,
original,2025,robust,SVR,0.6788016028001622,0.1466843725842079,0.3302310775718572,0.49673774594006154,0.41126929164132786,0.3023423570555247,0.513961952499283,-0.12461491892244836,0.4747477788988953,0.4847182183280315,,,,,
original,2025,minmax,Explainable Model,0.19671126433202246,-0.12983672769436194,0.03809533277016035,0.02588704600125712,0.1340250536552459,0.24333876078971084,0.27869285599031535,-0.035175423035689546,-0.0861029739396697,-0.2102765559538653,177466.0,,,,
original,2025,minmax,SVR,0.69116483616692,0.08919622877489282,0.19049981266879495,0.021423973698693262,0.12520449035907047,0.23111252746679978,0.24555949440855063,-0.07534819205204579,0.2691341499185669,0.2820410836021031,,,,,
