Dataset,Seed,Arm,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Best epoch,Train-Test gap,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,3407,strong_reg,0.6512201470647636,0.34451812863436787,0.224718114142138,1.0802005539437207,0.6782145356287727,0.30270994643253846,0.2559181658424371,0.024957442622496773,0.263219686732008,0.27678532908120945,44930,72,0.4265020329226256,,,,
original,5555,default,0.6322726353862435,0.7059111701847064,0.5001836291291438,0.5514732652803771,0.5792464077635044,0.5297181821075136,0.6246075920452202,0.0891739461124863,0.6266657237312149,0.6307527016492843,177466,35,0.13208900625709963,,,,
original,5555,wd_1e-4,0.6309959027087244,0.7021874821607474,0.49847992161803295,0.5540050767436836,0.5820348122966632,0.5245648374580816,0.6215412821612412,0.091375852670462,0.6246192960273249,0.6302983397730555,177466,35,0.13251598109069146,,,,
original,5555,wd_1e-3,0.641889207703286,0.67923525485972,0.5218517612746447,0.5282275885108356,0.5634672492411049,0.5701662823992208,0.6484019846280367,0.1261261645316465,0.6141576201534331,0.6504067546608867,177466,39,0.12003744642864123,,,,
original,5555,dropout_0.3,0.805157746195361,0.6919708262299671,0.6134911447877626,0.42838572960500854,0.5122308662232623,0.6684643937823213,0.6784604225603975,0.2940280164015374,0.7125400420712157,0.713962849123341,177466,109,0.1916666014075984,,,,
original,5555,dropout_0.5,0.6856200208224813,0.6769384941138759,0.5452875324424639,0.5010125438362429,0.5755112547452764,0.5946731160380521,0.6460623019004146,0.1579238919142718,0.6586526840008322,0.6691256683587491,177466,143,0.14033248838001744,,,,
original,5555,capacity_16,0.6937903658846587,0.7465053583910302,0.5309291600925795,0.5161871116868603,0.5459187603680551,0.629332933267707,0.6293329114827695,0.10953772433280329,0.6402520419128312,0.6461901894667865,44930,70,0.1628612057920792,,,,
original,5555,capacity_8,0.5322749260644932,0.5330757438972407,0.4942505414241662,0.5692230092244396,0.6100129433390735,0.6041505166891253,0.5567892141531959,0.11576727315996593,0.601187908384174,0.5933577947343698,11518,164,0.038024384640327036,,,,
original,5555,strong_reg,0.6267163738359816,0.7329571907992813,0.4859262424325248,0.5776396314411537,0.5874426898617973,0.5700084414671193,0.5518899861040372,0.10551872342937008,0.5874001806256798,0.6148138805364175,44930,86,0.14079013140345675,,,,
original,7777,default,0.4381278845311753,0.20753796721927448,0.3118315379180655,0.9279789064484578,0.7308963317656906,0.3224516560887092,0.3169734944205721,-0.05441763940166777,0.43251337463713124,0.541636803845583,177466,21,0.1262963466131098,,,,
original,7777,wd_1e-4,0.43475396732580024,0.211710531534838,0.3082760303618194,0.9343680630947837,0.7326102742080527,0.3228092156935941,0.3119937438946676,-0.05485125028278959,0.4241887872759712,0.5372396552276537,177466,21,0.12647793696398085,,,,
original,7777,wd_1e-3,0.43957580773840305,0.21145761052448134,0.3255910824049346,0.9081951209862902,0.7231851436719821,0.3361812595353372,0.34139814269999147,-0.03545802650103669,0.4398833419630438,0.5459506943273379,177466,23,0.11398472533346843,,,,
original,7777,dropout_0.3,0.4100991156640289,0.24911910770985432,0.34479642317682774,0.8713663087163693,0.7086657917201482,0.3211917497323826,0.38608820570004254,-0.03381005171796336,0.48712529352075584,0.5633869186489214,177466,25,0.06530269248720116,,,,
original,7777,dropout_0.5,0.3428253792931351,0.2594609973335388,0.2894531005501693,0.9562841456065867,0.748712459174976,0.22778739256949676,0.3621334363929335,-0.057032580482915485,0.4094997349280709,0.5048775193432617,177466,31,0.053372278742965795,,,,
original,7777,capacity_16,0.18305484303656422,-0.013115697534576332,-0.002945169622533039,1.4836678973369266,0.8866334511402645,-0.10361302410469131,-0.054691814785948534,0.029189501106968718,0.020079436965044994,0.09431005270596193,44930,26,0.18600001265909727,,,,
original,7777,capacity_8,0.46115636474597377,0.12868551366914507,0.3402797224984669,0.9006214864082667,0.6718534798722666,0.36967636271258775,0.40543531202984806,0.048235386526551904,0.4033941511064477,0.47465740011689883,11518,87,0.12087664224750688,,,,
original,7777,strong_reg,0.19501341459430338,-0.004132919810571556,0.013256968950014691,1.4596188840058464,0.8748142347928711,-0.07009560978441431,-0.04727647007128999,0.03714964878265259,0.03254669033159796,0.11396058549152777,44930,32,0.1817564456442887,,,,
original,9999,default,0.8995370917985218,0.19289172971573176,0.4485796312805602,1.3951436938763992,0.6618476568104411,0.6129299613124506,0.4783070010165088,0.012214065843168642,0.5766347799279601,0.5628123483027132,177466,77,0.4509574605179616,,,,
original,9999,wd_1e-4,0.829423209217798,0.15071141608192487,0.4084519164099161,1.4908672483601668,0.6999524376149867,0.5733302529480118,0.45975366197623435,-0.05424221501647497,0.5149110791100568,0.5485068030317524,177466,57,0.42097129280788187,,,,
original,9999,wd_1e-3,0.8155901756373002,0.12378123012741123,0.39452944360319503,1.5211793602167243,0.7078654756413718,0.5522173010143228,0.45191026444967497,-0.07420046803843272,0.5058304951419624,0.5368896254484474,177466,58,0.42106073203410516,,,,
original,9999,dropout_0.3,0.8490862026602246,0.2327191682899218,0.4311887695213863,1.454657036014348,0.68189353580257,0.5998281989501844,0.4572627091040945,-0.036680843991952594,0.5613476812791826,0.574186102265423,177466,92,0.4178974331388383,,,,
original,9999,dropout_0.5,0.7920688943081009,0.2050434960629955,0.399619586432063,1.552790485235953,0.7141527184897869,0.5795442178279,0.44218519640030984,-0.11353904470356624,0.5515418700010509,0.5383656926346203,177466,115,0.3924493078760379,,,,
original,9999,capacity_16,0.8534072692536985,-0.12640703505086312,0.4212232009107475,1.4658992083398432,0.6965324513532515,0.5535148444396603,0.48430634724543553,-0.04089201523260755,0.5473229445028673,0.5618638835983819,44930,211,0.432184068342951,,,,
original,9999,capacity_8,0.2704346965731105,-0.17545736154652572,0.2224033464645856,1.8571778612708407,0.7766714867718677,0.3191308983054094,0.2408895248470232,-0.2768368847182274,0.3380553735791739,0.4907778203095483,11518,57,0.048031350108524884,,,,
original,9999,strong_reg,0.6891285545482966,-0.11475233315518826,0.4450950585886323,1.5444691607723393,0.69533530026865,0.6041783075100315,0.5362443045687839,-0.15314838262713715,0.6100358368510136,0.6281652266404696,44930,80,0.24403349595966428,,,,
ontario,42,default,0.8869711820346718,0.5253698691916611,0.6878272375925243,0.2670143137992996,0.3588674631600237,,,,,,134985,114,0.19914394444214756,0.7076359769890144,0.6600214102714944,0.7350278234759501,0.6486237396336382
ontario,42,wd_1e-4,0.8855241346782461,0.5524857752373695,0.6850281784927729,0.26953802743027966,0.3592791879971919,,,,,,134985,113,0.20049595618547322,0.7032101001630772,0.6558579436107209,0.7311733384660672,0.6498713317312259
ontario,42,wd_1e-3,0.8789421799644876,0.5681641556188385,0.6702758789043067,0.2822216992658204,0.36940610422306586,,,,,,134985,113,0.20866630106018091,0.6891704612670989,0.6384606512769281,0.7163776095148187,0.6370947935583811
ontario,42,dropout_0.3,0.8866174014526316,0.5587461634741846,0.6692579729284174,0.28377229667827975,0.36615588235245167,,,,,,134985,182,0.2173594285242142,0.6805742242315742,0.655494595011419,0.7024631817822462,0.6384998906884299
ontario,42,dropout_0.5,0.8264992379653315,0.5091771931956226,0.6711287552495948,0.28266806686018536,0.35987621938435443,,,,,,134985,392,0.15537048271573672,0.6687380422076457,0.6488045784320692,0.7137965036071969,0.6531758967514669
ontario,42,capacity_16,0.8662767793700954,0.4292922607089178,0.6497392639499675,0.29917332838699284,0.3755167350568216,,,,,,34217,197,0.2165375154201279,0.6834505610788665,0.6060373598015597,0.6954036926022873,0.6140654423171565
ontario,42,capacity_8,0.8305279451480049,0.42086428856262104,0.658061670256069,0.2938969023378667,0.37129414413154216,,,,,,8793,294,0.1724662748919359,0.660384894060201,0.6374570657688783,0.6914720713998985,0.6429326497952981
ontario,42,strong_reg,0.7268567696374479,0.362122332946025,0.6891122184289309,0.26705241294789184,0.36131689363274627,,,,,,34217,94,0.03774455120851705,0.6887606123953731,0.673981292675583,0.731725821204468,0.6619811474402986
ontario,123,default,0.838697667306715,0.2953937149200404,0.7140241631668336,0.22410312356692802,0.33585760456721436,,,,,,134985,185,0.12467350413988143,0.7156651257021653,0.6737088556657236,0.8001260996087081,0.6665965716907374
ontario,123,wd_1e-4,0.8368003476420837,0.29065707673987773,0.7185297195142034,0.2207295428102818,0.333309499619986,,,,,,134985,184,0.11827062812788025,0.7198690479213746,0.6824359738095749,0.8008776177519745,0.67093623857389
ontario,123,wd_1e-3,0.8151010667301728,0.24021161812352776,0.7342345624615602,0.20886442103467043,0.32314561457738367,,,,,,134985,333,0.08086650426861264,0.7286942366793526,0.7037857157132458,0.8195753696645129,0.6848829277891295
ontario,123,dropout_0.3,0.6763733585846791,0.21680641393099592,0.7359285056493232,0.2163251581589951,0.32056856420196045,,,,,,134985,35,-0.059555147064644154,0.6764813548868631,0.7491387187469625,0.799722413158205,0.7183715358052627
