Protocol,Fold,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM,Params
random,789,Support Vector Regression,0.923396558348251,0.3230293284753585,0.2724031897321348,0.4912168492296205,0.49315229262124,0.18052089711616215,0.17301873061465067,0.2566448821912881,0.479428249006439,
random,789,XGBoost,0.9904495944480876,0.25445143957413546,0.46226839821391563,0.361554600849022,0.39614397539688045,0.5340687089764162,0.36014324054541447,0.5075986619414025,0.44726298139242926,
random,789,TabNet,0.5993173529829219,0.5028558874318496,0.42948925491303525,0.3857537643801938,0.4598734792631809,0.4760196141777313,0.3945849142125173,0.43768123649654433,0.4096712547653474,6126.0
random,789,Multi-task MLP,0.5304574510954478,0.5297495529581135,0.49094382455351115,0.3474278439816386,0.436714620083243,0.45073782489686687,0.5232383986152029,0.4920726787029711,0.4977263959990038,4932.0
random,789,Explainable Model,0.5748134186990951,0.5400591147590514,0.6337647841395069,0.24996298711513026,0.36066569447481844,0.6777087278783118,0.602980661752063,0.7598005424466404,0.49456920448101194,134985.0
random,1024,Random Forest,0.9503394079924112,0.6191365479355115,0.6452771525515859,0.4235461591346852,0.45454005142681,0.6139517283268114,0.6526081279325793,0.6797114146597237,0.6348373392872295,
random,1024,Support Vector Regression,0.7899005001571471,0.5107676134718765,0.5384483956376231,0.553898161005012,0.5088306755937371,0.5584750787623141,0.5100373705735426,0.5710510256611272,0.5142301075535085,
random,1024,XGBoost,0.9553216523609295,0.5253576527206332,0.6451960422354984,0.4225555958866056,0.4658430519065085,0.5897776639924537,0.6531984375951394,0.6603673314176626,0.677440735936738,
random,1024,TabNet,0.7678822049872126,0.5537694276340128,0.46169242844602737,0.6428171587534414,0.5280014879029193,0.4228137220720043,0.5331150207374613,0.4955589466494634,0.39528202432518,6126.0
random,1024,Multi-task MLP,0.7309295956494831,0.5839469339669017,0.5122135153783864,0.5849494254127661,0.5361972718212964,0.5291088656508915,0.5304388002933011,0.5325084883711737,0.4567979071981796,4932.0
random,1024,Explainable Model,0.6899284889481396,0.6067374867141155,0.4290262738485555,0.6835124897148799,0.563470980699005,0.42069730900171554,0.4510614086464738,0.4700106147643073,0.3743357629817258,134985.0
random,2025,Random Forest,0.9414463931093399,0.34610655447330185,0.574167684357982,0.41363899349233596,0.41027350417899033,0.628022290508804,0.5600925122946198,0.6514346389646937,0.45712129566381066,
random,2025,Support Vector Regression,0.9062452776789554,0.36365518707285444,0.43300455875509813,0.5642628460029562,0.48912475764957614,0.4230267817344622,0.4573692837211234,0.4724551947243989,0.37916697484040784,
random,2025,XGBoost,0.9996978836759023,0.3135014216697275,0.5058921438402162,0.48471152856862315,0.45456005663188687,0.532056378728675,0.4774114890402016,0.5889224875011738,0.4251782200908152,
random,2025,TabNet,0.704883759940521,0.3906043242001107,0.38199648124872543,0.6250876929980673,0.5208891082728705,0.3038041298477966,0.5353023544200542,0.40927628166361085,0.2796031590634397,6126.0
random,2025,Multi-task MLP,0.5586216275817787,0.39056703729925624,0.533155075385684,0.45451146278852705,0.49759454708222123,0.5734376788012628,0.6016584525461202,0.6583189145132129,0.2992052556821402,4932.0
random,2025,Explainable Model,0.5638171550262491,0.37664456545631086,0.5237926905140349,0.46640915965414426,0.5035928617240713,0.5459336385710634,0.4666193371759262,0.6229612977569696,0.45965648855218033,134985.0
random,3407,Random Forest,0.9301821494405061,0.5151973419090168,0.603943180870158,0.4935784232919429,0.47908373513599783,0.5169054950264316,0.6366181282659767,0.6206803976539405,0.6415687025342831,
