Dataset,Experiment,Arm,Seed,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,module,multitask_mlp,5555,0.7381126185330752,0.6642276213440298,0.5653440033997827,0.47860021792324015,0.5252298494639198,0.654843789029433,0.6440834540596792,0.17643293150586847,0.6746573495293442,0.6767024928745888,5061.0,,,,
original,module,full,7777,0.4381278845311753,0.20753796721927448,0.3118315379180655,0.9279789064484578,0.7308963317656906,0.3224516560887092,0.3169734944205721,-0.05441763940166777,0.43251337463713124,0.541636803845583,177466.0,,,,
original,module,no_attention,7777,0.38676896284529,0.16153549406514237,0.2733934942205939,1.022092332433276,0.7530431169007894,0.22386477929906023,0.2491143870718846,0.07499390065324962,0.39093634611847494,0.42805805796030016,166661.0,,,,
original,module,no_chemistry,7777,0.39305051929276813,0.18669452402046494,0.3278909266273514,0.9158190304248093,0.6994988080662099,0.34509020536040325,0.36944584769154964,0.013321977065403834,0.35563344690223175,0.5559631561171692,163914.0,,,,
original,module,no_interaction,7777,0.39755498354503077,0.31956345569239664,0.3815456514932375,0.8314639936448216,0.6819558302992481,0.3177582672157634,0.468860401604025,0.08591102617615365,0.4774282721976132,0.5577702902726329,156986.0,,,,
original,module,no_grouping,7777,0.40199475752617236,0.12151117626241177,0.21624353244042638,1.1322280228165855,0.7579073073305679,0.16996292923024592,0.21752225280616277,0.13108785224115826,0.25403465364021716,0.3086099742843478,100214.0,,,,
original,module,random_grouping,7777,0.4444356269059198,0.18927684690442192,0.2927926066123731,0.9511421875986658,0.7289471075559038,0.30332513675037565,0.2890193906710822,-0.0980925217160824,0.41267509210954934,0.5570359352469413,177466.0,,,,
original,module,no_hier_loss,7777,0.4378817642082621,0.20874467081594075,0.3169460967710113,0.921707151465724,0.7314074190738127,0.3303628990070555,0.32025341716003497,-0.04435552261120668,0.4440591126081457,0.5344105776910275,177466.0,,,,
original,module,multitask_mlp,7777,0.46666144428604583,0.1048381847880859,0.23509949085911072,1.0853006570744774,0.7273807618651943,0.20907445836094463,0.254027844841054,0.06954070712882798,0.2931017936706122,0.34975265029411573,5061.0,,,,
original,module,full,9999,0.8995370917985218,0.19289172971573176,0.4485796312805602,1.3951436938763992,0.6618476568104411,0.6129299613124506,0.4783070010165088,0.012214065843168642,0.5766347799279601,0.5628123483027132,177466.0,,,,
original,module,no_attention,9999,0.8736411861275271,0.1495325616223319,0.39641856211647303,1.444732746169425,0.7101889067239389,0.5607091186028113,0.4090064451952401,0.010433786387626709,0.48472083758308127,0.5172226228136061,166661.0,,,,
original,module,no_chemistry,9999,0.9075352179490219,0.2737491955254109,0.3472844122863113,1.4364700882866122,0.7094529612928812,0.4777191932848577,0.3176362329551842,0.06971969122951427,0.42665658941757023,0.44469035454442973,163914.0,,,,
original,module,no_interaction,9999,0.8216680699723028,0.2858776116337063,0.40545328376889067,1.492375336556396,0.7030110168481009,0.5795287301378775,0.4342832723529343,-0.05244323494531744,0.5062717452365715,0.559625906062387,156986.0,,,,
original,module,no_grouping,9999,0.8685253020688994,0.005614591039223615,0.4220751886192831,1.439042553472726,0.6924052513065613,0.5049050464231204,0.4969456147505624,-0.01399129212730732,0.5529768680952155,0.569539705954824,100214.0,,,,
original,module,random_grouping,9999,0.8529447553377292,0.15663210370465191,0.4012502573962182,1.460909964538157,0.7178465268469473,0.5116655483124868,0.46322744217744516,-0.015619691311641537,0.5090755391607333,0.5379024486420669,177466.0,,,,
original,module,no_hier_loss,9999,0.9058576141533518,0.2091366525914749,0.44385341756652874,1.39145567752451,0.6582930982074862,0.6114144801005681,0.4655271263441705,0.021407708950597404,0.5629643564686637,0.5579534159686441,177466.0,,,,
original,module,multitask_mlp,9999,0.876730367971744,0.09458025122762201,0.4418631223113617,1.4522944091032208,0.6805553359801572,0.5910454512782496,0.5190166982615139,-0.0461423344053955,0.5772496299997938,0.5681461664226464,5061.0,,,,
original,feature,baseline_all_features,42,0.36546560955562307,0.3414419365757156,0.04923677851334955,0.5628069020264252,0.6028591948196423,0.013317415042882308,0.1282945585357852,0.030482816058618467,0.06871106631255774,0.005378036616904058,177466.0,,,,
original,feature,remove_Temp,42,0.9358168826643883,0.21341568859671717,-0.2053610496550772,0.8257471118833506,0.5433942924985575,0.1476790996707973,0.024861367493436703,-1.5174212403102953,0.17961218556330327,0.13846333930737165,163914.0,,,,
original,feature,remove_pH,42,0.42628246621192645,0.16813487296275215,-0.021347174420809266,0.5919219453029908,0.6175234481657345,0.0314106967747918,-0.11196940045548542,-0.019137749827987438,-0.03561410000372156,0.02857468140835573,163882.0,,,,
original,feature,remove_UVA254,42,0.9246038957401573,0.3004650146810679,-0.5470658023343158,1.0277615738578165,0.5800794102113701,-0.032912788390750736,-0.1644612621316004,-1.9072422524350294,0.008584584979664744,-0.6392972936938635,163914.0,,,,
original,feature,remove_Cl2,42,0.42258842993589935,0.3578061115983793,0.15029061899443286,0.5175422051862169,0.5602707271694569,0.01745425620657315,0.3310018088333214,0.07538712490270538,0.18455198949141205,0.14305791553815184,150593.0,,,,
original,feature,remove_NO2-N,42,0.89455244742116,0.4341324972760196,-0.47284355986393367,1.0087671457626362,0.5332807469080317,0.2976789842766355,-0.3415491482581561,-2.2887771333332565,0.21302696967720447,-0.24459747168209645,163914.0,,,,
original,feature,remove_DOC,42,0.41609086130660894,-0.1444152530789057,-0.004356982320263492,0.5890876596905417,0.6480923093938414,0.012699645650044666,0.05027246864327528,-0.00886825097959787,-0.006240798776411038,-0.06964797613862861,163898.0,,,,
original,feature,remove_NH4-N,42,0.24112143385335222,0.11309630976888937,-0.02303681578143533,0.5885218048350939,0.6378441297829284,0.049006115747482926,-0.13545406616602595,0.003176463747158964,-0.09042648316246082,0.058513890926668144,163914.0,,,,
original,feature,remove_Br,42,0.25321492747246593,0.31851077312441417,0.05828343299846965,0.5612288705175801,0.613774689955287,-0.03394013198383328,0.19583749180039567,0.044285469535751076,-0.01730578559705842,0.10254012123709277,163881.0,,,,
original,feature,baseline_all_features,123,0.6159676261855107,0.4011464033545705,0.10234711207206118,0.5541146242555317,0.5421127628353294,0.03769742386379549,0.1379773707860089,0.06642269531702127,0.05784557654149203,0.21179249385198762,177466.0,,,,
original,feature,remove_Temp,123,0.5418177721546364,0.3797005027012149,0.04008713192771178,0.5919931376861924,0.5554408897485185,-0.10982917852247409,0.06278997504215367,0.06726332106349397,0.0829383502504446,0.09727319180494087,163914.0,,,,
original,feature,remove_pH,123,0.5238768470219811,0.3695238116138381,0.09577285884164133,0.557523720954935,0.5574497529553994,-0.023379327938839234,0.21581383098225815,0.036699010623525874,0.10768067950605609,0.14205010103520566,163882.0,,,,
original,feature,remove_UVA254,123,0.4058091485802591,0.008392937915679433,0.0047464517877836565,0.6125094584248617,0.5934901363949553,-0.16397249627202948,0.09004578541037855,0.032627290064129344,-0.0326090102525014,0.09764068998894149,163914.0,,,,
original,feature,remove_Cl2,123,0.5062990335924589,0.4443169216964974,-0.09145656127928543,0.673389771584189,0.5886415297034736,-0.24625492298238183,-0.05201043189990262,-0.002549596447281255,-0.045348788524729455,-0.11111906654213244,150593.0,,,,
original,feature,remove_NO2-N,123,0.5581094433285658,0.3374357565590179,-0.010553100163972706,0.6232614027078585,0.5697468313712649,-0.14886014157591854,0.08257684548253963,-0.003765251903606659,0.017654936081210826,-0.0003718889040886797,163914.0,,,,
original,feature,remove_DOC,123,0.45849892568005374,0.4779775551685505,-0.2499850133768935,0.7721286713281985,0.6381666422343353,-0.31714998070782974,-0.32832262471046403,0.0482461366596445,-0.3445746533522065,-0.30812394477361127,163898.0,,,,
original,feature,remove_NH4-N,123,0.5540772417674871,0.23638868142497554,-0.07605802217632515,0.6637472234978596,0.5866068639658707,-0.20213309346255803,0.004868427372113349,-0.0030626689496784376,-0.08300344990993347,-0.09695932593156908,163914.0,,,,
original,feature,remove_Br,123,0.7468797569577692,0.37670369056419206,0.18264848597370925,0.506933105977635,0.5429266291755495,0.18920279841210752,0.21791292299356435,0.0055260336738094384,0.2505919996030985,0.2500086751859657,163881.0,,,,
original,feature,baseline_all_features,456,0.6234145717471483,0.30365322526161875,0.5057982550329709,0.46684844652168156,0.5345505948209421,0.5797260697305464,0.6107523539008172,0.16937346737052728,0.6002961396835692,0.5688432444793949,177466.0,,,,
original,feature,remove_Temp,456,0.6127289971285961,0.4189602669818534,0.45535299361486914,0.5017305102254065,0.570256285566983,0.4740600331803635,0.5488535304767341,0.18685211690665515,0.5440522276415277,0.5229470598690649,163914.0,,,,
original,feature,remove_pH,456,0.553467593795198,0.4536151097108073,0.4301816827511529,0.5371359477524826,0.5756614554600453,0.47318728313130165,0.6102736443195694,0.05907189332826379,0.5133431236199403,0.4950324693566889,163882.0,,,,
original,feature,remove_UVA254,456,0.6285875711507911,0.12148217486359898,0.3800023931774421,0.5512746132154379,0.6062556351423571,0.46284074490948135,0.34764733394843905,0.21250349504846078,0.42703176059927117,0.4499886313815582,163914.0,,,,
original,feature,remove_Cl2,456,0.6320627186344739,0.1757179112477912,0.43899105539479777,0.5165895406997661,0.557693004637146,0.4099721904995268,0.5111123074502018,0.165870798390653,0.5775596954174114,0.5304402852161958,150593.0,,,,
original,feature,remove_NO2-N,456,0.6145288655826023,0.4027190280273162,0.43124565169651474,0.5147077735390655,0.5543135873710142,0.5008399620662669,0.43678532762828093,0.21098306870042183,0.5014850329178173,0.5061348671697866,163914.0,,,,
original,feature,remove_DOC,456,0.334697844257353,0.16338677533107998,0.24985018419788368,0.6738092772750339,0.6553230931731969,0.2692513695833172,0.43136711901323266,0.02046726636889884,0.28415772767761527,0.2440074383463542,163898.0,,,,
original,feature,remove_NH4-N,456,0.6234371786162463,0.15436615505110257,0.3981607203539104,0.5323749115341826,0.5773613786609963,0.45171273570414605,0.3559775292982683,0.258765290351858,0.46730146682379803,0.45704657959148176,163914.0,,,,
original,feature,remove_Br,456,0.5933411896542352,0.3572429434063987,0.46030892468876194,0.5012213846077451,0.5451239976563462,0.4962357138034722,0.5477889430252397,0.15952236133751452,0.5294712421975607,0.5685263630800226,163881.0,,,,
original,feature,baseline_all_features,789,0.9542538960633167,0.4870550761413922,0.3849068785343779,0.7999233824789139,0.4759994972279449,0.4914602440344512,0.39769684625641044,0.04351843630933416,0.4810943278133447,0.5107645382583486,177466.0,,,,
original,feature,remove_Temp,789,0.5760790445369743,0.21558063275809528,0.26080984449892164,0.9081499328832698,0.6325753899309275,0.3712716271003079,0.30209632652298857,-0.02768832693521328,0.32108395346538665,0.33728564234113745,163914.0,,,,
original,feature,remove_pH,789,0.9053194403351652,0.2698164715594998,0.43386943256071486,0.8440236945889612,0.47532047343164613,0.6052362717776524,0.4772185956698993,-0.12487398692443086,0.5796571724006566,0.6321091098797971,163882.0,,,,
original,feature,remove_UVA254,789,0.3939838129253771,0.15508072208545412,0.03529632294831819,1.0306045165281303,0.728172228227017,0.15064479076989934,-0.08566034561699998,0.005664181523707401,0.019290291563457407,0.08654269650152668,163914.0,,,,
original,feature,remove_Cl2,789,0.5298608336693447,0.32863407806095274,0.2647886865008185,0.8889243279130111,0.6509620668035365,0.39386211024022566,0.3103057118064527,0.012623771330628308,0.38564719244343815,0.2215046466833479,150593.0,,,,
original,feature,remove_NO2-N,789,0.6770884751051711,0.5113024783701196,0.33885194513784944,0.8114336895070491,0.5384691342014511,0.5420050127447693,0.2617749136139964,0.08026899711567359,0.4017236697674257,0.40848713244738233,163914.0,,,,
original,feature,remove_DOC,789,0.3563998989806267,0.011577669070966468,0.06740253539508718,1.0274473163555924,0.7577538150241996,0.16508193013648065,0.05021494826155748,-0.028409153461494308,0.09993430866860142,0.050190643370290666,163898.0,,,,
original,feature,remove_NH4-N,789,0.5553450937165787,0.09092791018472393,0.30973375309600304,0.829655344868691,0.5992804516589858,0.4211677262832608,0.3177465577646009,0.08115025191649883,0.3437403787736949,0.3848638507419597,163914.0,,,,
original,feature,remove_Br,789,0.9614507089303623,0.5747971717490089,0.4079693399583507,0.7690142865194292,0.4734963537343281,0.4768436829268864,0.42044103306545844,0.08126498674348559,0.5111869891319021,0.5501100079240213,163881.0,,,,
original,feature,baseline_all_features,1024,0.7189195520598461,0.1590482256001641,0.2507466715696788,0.6602968268973657,0.6670120198029423,0.31992590945745447,0.4000213427486743,-0.288289065623061,0.411095527680608,0.4109796435847175,177466.0,,,,
original,feature,remove_Temp,1024,0.6657071921076451,0.19564585389059674,0.23129223534940904,0.6903799639883397,0.6707704010935325,0.2502391408847451,0.3643914535017526,-0.163118186004247,0.3628801422408533,0.34206862612394084,163914.0,,,,
original,feature,remove_pH,1024,0.6752256442739537,0.0018939989873815398,0.2598790104723643,0.6563150182224096,0.6452528715677464,0.23626734986679798,0.40242729481647366,-0.17994342330849822,0.4149232646857357,0.4257205663013117,163882.0,,,,
original,feature,remove_UVA254,1024,0.8763426495725174,-0.1706690173176435,0.22641038026024862,0.6913177230496612,0.6430237996830972,0.3778385817566886,0.36787370423047683,-0.2783998311406153,0.34965803313082844,0.31508141332386386,163914.0,,,,
original,feature,remove_Cl2,1024,0.6929517969619668,0.35469816005133864,0.3350149214901438,0.580357328676343,0.5966922979331836,0.44004142215333564,0.4780761409501293,-0.22453615564995277,0.5121268231842937,0.4693663768129124,150593.0,,,,
original,feature,remove_NO2-N,1024,0.6278091121008641,0.2217770364773993,0.24096587553699056,0.666235208309326,0.7026752522069927,0.2102903980983265,0.43363036415190725,-0.26400602037434595,0.4052384192152758,0.41967621659378884,163914.0,,,,
original,feature,remove_DOC,1024,0.1429543474913632,-0.019901543396170875,0.05830045957559009,0.8790017812983129,0.7435671462282716,0.04389316957897038,0.09664591234763664,-0.09268294607661742,0.11363914735000924,0.1300070146779514,163898.0,,,,
original,feature,remove_NH4-N,1024,0.6026906392666413,0.31647909586802775,0.2694417219629145,0.6436520003825136,0.6891776282194968,0.16036879192321163,0.4841444749984961,-0.1379838754181435,0.4273043109722716,0.4133749073387364,163914.0,,,,
original,feature,remove_Br,1024,0.6656616659266918,0.15347678626713077,0.2916735249258979,0.6200288872957825,0.647700948210298,0.3821093904463335,0.4435987519720892,-0.2729139158883105,0.4648558752672496,0.4407175228321274,163881.0,,,,
original,feature,baseline_all_features,2025,0.9657053113959172,0.3040583403571595,0.3346894798896181,0.276037018099096,0.40496765521571787,0.42016626452658334,0.5202538902237919,-0.2406534780953944,0.5108366338018393,0.4628440889912706,177466.0,,,,
