Dataset,Seed,Lambda,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
ontario,789,1.0,0.5699541520583441,0.5485904607102807,0.6292260207555419,0.25427563700082473,0.36266482073273426,,,,,,134985,0.0,,0.01886792480945587,0.6437705279690039,0.6218380793888214,0.7551058483448034,0.49618962731953853
ontario,1024,0.0,0.6895876910122262,0.6086093242248193,0.4290795343722221,0.6834725094547573,0.5647197008277144,,,,,,134985,0.01886792480945587,,0.056603774428367615,0.4214113488982807,0.4515965248705295,0.4685929200741721,0.37471734364590614
ontario,1024,0.01,0.689608538367041,0.6082143664520786,0.42897355964030776,0.6835750810463859,0.5647044088273374,,,,,,134985,0.01886792480945587,,0.056603774428367615,0.4206926555547559,0.4513351228850804,0.4693422400567038,0.3745242200646913
ontario,1024,0.05,0.6897461474626175,0.6076413182015226,0.42890492957224235,0.6836132259198721,0.5640262190312726,,,,,,134985,0.0,,0.056603774428367615,0.4195682344635655,0.4512370172509701,0.47021696036542415,0.3745975062090092
ontario,1024,0.1,0.6899284889481396,0.6067374867141155,0.4290262738485555,0.6835124897148799,0.563470980699005,,,,,,134985,0.0,,0.056603774428367615,0.42069730900171554,0.4510614086464738,0.4700106147643073,0.3743357629817258
ontario,1024,0.5,0.6876801679297379,0.601922048002923,0.4277883454506673,0.6855041319268586,0.5624923641249354,,,,,,134985,0.0,,0.056603774428367615,0.4321123783955013,0.4523636308246892,0.45256849727988935,0.37410887530258896
ontario,1024,1.0,0.6865747389744314,0.5986301657069535,0.4270273661608764,0.6865644822011734,0.5618043264238046,,,,,,134985,0.0,,0.03773584961891174,0.43496718473585994,0.4518597633525001,0.44787619109950794,0.3734063254556371
ontario,2025,0.0,0.5640455458487839,0.3737680992625225,0.5196091270988736,0.46923008252632686,0.5055414695398348,,,,,,134985,0.3962264060974121,,0.11320754885673523,0.5494894796533152,0.44512139172985177,0.6241454431224579,0.4596801938898698
ontario,2025,0.01,0.5640659345828198,0.37414083586468105,0.5201385461500987,0.4688630936285325,0.5053133427780677,,,,,,134985,0.37735849618911743,,0.11320754885673523,0.5491169988517788,0.44778672809972186,0.6239944571021514,0.4596560005467427
ontario,2025,0.05,0.564008580447201,0.37548308148451837,0.5220740524270784,0.467543180270674,0.5043942522380775,,,,,,134985,0.3396226465702057,,0.11320754885673523,0.5475381966845547,0.45748842048740046,0.6235473599977785,0.45972223253857947
